Source,Target,Weight
#quote,#motivation,1
#quote,#justdoit,5
#quote,#fridayfeeling,1
#quote,#bigfacts,1
#quote,#uapb21,2
#quote,#retweeet,1
#quote,#share,1
#quote,#listenbetter,1
#quote,#puregoals,1
#quote,#teamfollowback,1
#quote,#waitonit,1
#quote,#naturalwoman,1
#quote,#afro,1
#quote,#aibek,1
#quote,#funny,2
#quote,#club,1
#quote,#cool,1
#quote,#sayings,1
#quote,#inspirational,1
#quote,#motivational,1
#quote,#shia,1
#quote,#labeouf,1
#quote,#true,1
#quote,#byshialabeouf,1
#quote,#customon,1
#quote,#dreams,1
#quote,#nike,1
#quote,#speech,1
#quote,#womenstshirt,1
#quote,#custom,1
#quote,#tee,1
#quote,#unique,1
#quote,#lady,1
#quote,#strong,1
#quote,#able,1
#quote,#herstrength,1
#quote,#morningrush,1
#quote,#leadership,1
#quote,#strategy,1
#quote,#vision,1
#motivation,#justdoit,27
#motivation,#fridaymotivation,2
#motivation,#fridayfeeling,1
#motivation,#blessednotstressed,1
#motivation,#business,6
#motivation,#keytosuccess,1
#motivation,#success,6
#motivation,#action,1
#motivation,#goals,5
#motivation,#workhard,3
#motivation,#achieve,1
#motivation,#accomplish,1
#motivation,#effort,1
#motivation,#startup,1
#motivation,#determine,1
#motivation,#failure,1
#motivation,#dontgiveup,2
#motivation,#nevergiveup,2
#motivation,#luxury,2
#motivation,#quoteoftheday,2
#motivation,#growthevolutiondevelopment,2
#motivation,#lifecoaching,2
#motivation,#businesslife,2
#motivation,#selfimprovement,2
#motivation,#passion,3
#motivation,#lifestyle,3
#motivation,#selfdevelopment,2
#motivation,#confidence,1
#motivation,#dreambig,3
#motivation,#violatorfitness,1
#motivation,#nike,6
#motivation,#staywoke,1
#motivation,#fitnessfriday,1
#motivation,#inspiration,4
#motivation,#myworkethic,1
#motivation,#getfit,2
#motivation,#myvision,1
#motivation,#motivationalquotes,2
#motivation,#believeinyourself,2
#motivation,#goforit,2
#motivation,#motivational,1
#motivation,#quotes,1
#motivation,#whocares,1
#motivation,#coffee,2
#motivation,#itsyourlife,1
#motivation,#tgif,1
#motivation,#5k,1
#motivation,#friday,2
#motivation,#run,2
#motivation,#riseandgrind,1
#motivation,#makeithappen,1
#motivation,#morningmotivation,1
#motivation,#inspirationalquotes,1
#motivation,#empowerment,1
#motivation,#morningcoffee,1
#motivation,#yoga,1
#motivation,#somuchfun,1
#motivation,#gymnastic,1
#motivation,#loveit,1
#motivation,#sporty,1
#motivation,#gameday,1
#motivation,#sportsday,1
#motivation,#winner,1
#motivation,#tagsta_sport,1
#motivation,#grass,1
#motivation,#healthy,2
#motivation,#playing,1
#motivation,#kick,1
#motivation,#play,1
#motivation,#themememuni,1
#motivation,#judicialservices,1
#motivation,#lawyers,1
#motivation,#pcsj,1
#motivation,#adj,1
#motivation,#highcourt,1
#motivation,#supremecourt,1
#motivation,#upsc,1
#motivation,#ias,1
#motivation,#pcs,1
#motivation,#cse,1
#motivation,#ada,1
#motivation,#apo,1
#motivation,#civiljudge,1
#motivation,#funnymeme,1
#motivation,#books,1
#motivation,#dream,1
#motivation,#brand,1
#motivation,#bethebest,1
#motivation,#beyou,1
#motivation,#successiskey,1
#motivation,#empower,1
#motivation,#storytellah,1
#motivation,#womeninbusiness,1
#motivation,#brussel,1
#motivation,#fridayfunday,1
#motivation,#entrepreneur,3
#motivation,#fridayfeels,1
#motivation,#successquote,1
#motivation,#leadership,1
#motivation,#motivation,1
#motivation,#entrepreneurs,2
#motivation,#smallbiz,2
#motivation,#thoughts,1
#motivation,#india,1
#motivation,#sports,1
#motivation,#athlete,1
#motivation,#grit,1
#motivation,#hardwork,3
#motivation,#silkthemodel,1
#motivation,#nothinglessthaniconic,1
#motivation,#oldiebutgoodie,1
#motivation,#influencer,1
#motivation,#makeupporn,1
#motivation,#modelstopia,1
#motivation,#inspiring,1
#motivation,#youcandoit,1
#motivation,#justbringit,1
#motivation,#staypositive,1
#motivation,#noexcuses,3
#motivation,#hustle,1
#motivation,#active,1
#motivation,#grind,1
#motivation,#pushpullgrind,1
#motivation,#cbdoil,1
#motivation,#sucess,1
#motivation,#loveislove,1
#motivation,#securethebag,1
#motivation,#beyourownboss,1
#motivation,#trending,1
#motivation,#fitness,1
#motivation,#exercise,1
#motivation,#workout,1
#motivation,#gains,1
#motivation,#maketime,1
#motivation,#train,1
#motivation,#health,1
#motivation,#fit,2
#motivation,#cardio,1
#motivation,#weightlift,1
#motivation,#noteasy,1
#motivation,#worthit,1
#motivation,#possible,1
#motivation,#mysonandme,1
#motivation,#joke,1
#motivation,#healthylifestyle,1
#motivation,#happy,1
#motivation,#weightlossjourney,1
#motivation,#photooftheday,1
#motivation,#strong,1
#motivation,#wellness,1
#motivation,#daily,1
#motivation,#dreams,1
#motivation,#lifequotes,1
#motivation,#love,1
#motivation,#belive,1
#motivation,#self,1
#motivation,#wisdom,1
#motivation,#vision,1
#justdoit,#hero,2
#justdoit,#fdny,1
#justdoit,#likesforlikes,1
#justdoit,#promo,2
#justdoit,#music,46
#justdoit,#instagood,2
#justdoit,#instadaily,1
#justdoit,#postoftheday,1
#justdoit,#bestoftheday,2
#justdoit,#nike,1143
#justdoit,#picoftheday,4
#justdoit,#4yourmorning,1
#justdoit,#4yourmemecollection,1
#justdoit,#kapernickeffect,1
#justdoit,#swoosh,14
#justdoit,#shaquem,2
#justdoit,#nfl,107
#justdoit,#seattle,2
#justdoit,#seahawks,3
#justdoit,#griffin,2
#justdoit,#registertovote,2
#justdoit,#takeaknee,142
#justdoit,#takeakneeinnikes,7
#justdoit,#fx,1
#justdoit,#feelgoodfriday,3
#justdoit,#fridayfeeling,48
#justdoit,#tradermoni,1
#justdoit,#fridaymotivation,28
#justdoit,#nikeboycott,69
#justdoit,#spartacassjr,1
#justdoit,#socialism,1
#justdoit,#truth,6
#justdoit,#kaga2018,1
#justdoit,#kag2020,2
#justdoit,#maga,43
#justdoit,#fakenews,5
#justdoit,#voteredtosaveamerica,5
#justdoit,#votered2018,2
#justdoit,#kavanaugh,11
#justdoit,#kaepernick7,7
#justdoit,#discounts365days,1
#justdoit,#newyoutubers,1
#justdoit,#relationshipgoals,2
#justdoit,#nikestrong,1
#justdoit,#teamnike,10
#justdoit,#imwithkap,73
#justdoit,#juststealit,2
#justdoit,#legday,1
#justdoit,#flexfriday,2
#justdoit,#berkhansays,1
#justdoit,#photooftheday,5
#justdoit,#internewins,1
#justdoit,#mike_tyson,1
#justdoit,#tyson,3
#justdoit,#missamerica,1
#justdoit,#flashbackfriday,3
