Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient
#quote,0.0026897989375294197,1.7932335256073944e-06,0.15631385874257384,0.3782051282051282
#motivation,0.010759195750117679,3.7649166496862485e-05,0.15834078570209295,0.10965089091348867
#justdoit,0.31141147199246855,0.0875770289778999,0.31127698204559207,0.0022552384323922333
#hero,0.0008741846546970614,6.934025505848088e-08,0.1558573444985447,0.7564102564102564
#fdny,0.0007396947078205904,0.0,0.15582363468033367,1.0
#likesforlikes,0.0007396947078205904,0.0,0.15582363468033367,1.0
#promo,0.0016138793625176517,3.138909147304051e-07,0.156043009517982,0.5833333333333334
#music,0.009078071414161792,2.849040574081171e-05,0.15790697533030637,0.11278195488721804
#instagood,0.0013448994687647099,2.291243210628064e-07,0.1559754438069978,0.5789473684210527
#instadaily,0.0007396947078205904,0.0,0.15582363468033367,1.0
#postoftheday,0.0007396947078205904,0.0,0.15582363468033367,1.0
#bestoftheday,0.0012776544953264743,1.803061973927517e-07,0.15595856152062407,0.5964912280701754
#nike,0.12359626117947684,0.007209069555422366,0.19413920100903337,0.007375350988109443
#picoftheday,0.002622553964091184,1.8464281197763587e-06,0.15629690312279484,0.30364372469635625
#4yourmorning,0.00013448994687647098,0.0,0.15567212077452955,1.0
#4yourmemecollection,0.00013448994687647098,0.0,0.15567212077452955,1.0
#kapernickeffect,0.00013448994687647098,0.0,0.15567212077452955,1.0
#swoosh,0.0016811243359558872,7.638952137971886e-07,0.1560599100930408,0.26666666666666666
#shaquem,0.0004034698406294129,0.0,0.15573942389635168,1.0
#nfl,0.01701297827987358,9.21189750794822e-05,0.16001123263620717,0.05947675512892904
#seattle,0.0004034698406294129,0.0,0.15573942389635168,1.0
#seahawks,0.0006052047609441194,4.597560389747102e-08,0.15578993944091746,0.6388888888888888
#griffin,0.0004034698406294129,0.0,0.15573942389635168,1.0
#registertovote,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#takeaknee,0.012440320086073566,5.224239667898268e-05,0.15877698621366895,0.07320002401969615
#takeakneeinnikes,0.0012776544953264743,1.7447759624290838e-07,0.15595856152062407,0.5321637426900585
#fx,0.00033622486719117747,0.0,0.15572259266065555,1.0
#feelgoodfriday,0.0010086746015735323,1.8043540283696007e-07,0.15589106890501414,0.5047619047619047
#fridayfeeling,0.012507565059511802,5.914665068307103e-05,0.1588294918308031,0.07701249636733508
#tradermoni,0.00033622486719117747,0.0,0.15572259266065555,1.0
#fridaymotivation,0.009212561361038263,2.8554363446071546e-05,0.15794159266568514,0.11376451077943615
#nikeboycott,0.007867661892273552,1.7761842265630753e-05,0.1576305819810793,0.121131741821397
#spartacassjr,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#socialism,0.0004034698406294129,0.0,0.15573942389635168,1.0
#truth,0.0014121444422029452,5.632065313041953e-07,0.15599232974873287,0.3047619047619048
#kaga2018,0.0004034698406294129,0.0,0.15573942389635168,1.0
#kag2020,0.0012104095218882388,1.0060079447666764e-07,0.15594168288842486,0.7124183006535948
#maga,0.007665926971958846,1.9758493679702413e-05,0.15757886591087553,0.10945505356311132
#fakenews,0.0016138793625176517,6.206916346965421e-07,0.156043009517982,0.32608695652173914
#voteredtosaveamerica,0.0021518391500235357,7.779782809395246e-07,0.15617831670160912,0.4032258064516129
#votered2018,0.0004707148140676484,0.0,0.15575625877084054,1.0
#kavanaugh,0.0029587788312823615,3.2328853099382817e-06,0.1563817180257267,0.19978858350951373
#kaepernick7,0.0011431645484500034,1.904333642826036e-07,0.1559248079092139,0.47058823529411764
#discounts365days,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#newyoutubers,0.00013448994687647098,0.0,0.15567212077452955,1.0
#relationshipgoals,0.0006052047609441194,3.165533383104562e-08,0.15578993944091746,0.8055555555555556
#nikestrong,0.00020173492031470646,0.0,0.15568894110092335,1.0
#teamnike,0.0016138793625176517,8.17095229173602e-07,0.156043009517982,0.3079710144927536
#imwithkap,0.007665926971958846,1.6901102063824677e-05,0.15757886591087553,0.11783884489986027
#juststealit,0.00033622486719117747,0.0,0.15572259266065555,1.0
#legday,0.00020173492031470646,0.0,0.15568894110092335,1.0
#flexfriday,0.0009414296281352968,9.94881920404291e-08,0.15587420487765533,0.7582417582417582
#berkhansays,0.00020173492031470646,0.0,0.15568894110092335,1.0
#photooftheday,0.0022190841234617713,1.3177965265204084e-06,0.15619524660043857,0.3314393939393939
#internewins,0.00033622486719117747,0.0,0.15572259266065555,1.0
#mike_tyson,0.00033622486719117747,0.0,0.15572259266065555,1.0
#tyson,0.0006724497343823549,5.728108026570161e-08,0.15580678523886737,0.5777777777777777
#missamerica,0.0010086746015735323,0.0,0.15589106890501414,1.0
#flashbackfriday,0.0018156142828323583,3.4053171533145566e-07,0.15609372222825757,0.5669515669515669
#jobsreport,0.0020173492031470646,3.512725704340233e-07,0.1561444679116868,0.535632183908046
#got7,0.002622553964091184,1.1647301271385212e-06,0.15629690312279484,0.45479082321187586
#campaigns,0.0010086746015735323,0.0,0.15589106890501414,1.0
#tv3gh,0.0010086746015735323,0.0,0.15589106890501414,1.0
#kaepernicknikead,0.0034967386187882456,2.7232984142168936e-06,0.15651761350087395,0.3009049773755656
#slaveryremembranceday,0.0015466343890794163,8.75277158508645e-08,0.1560261126030369,0.7193675889328063
#mudasuksesmenang,0.0010086746015735323,0.0,0.15589106890501414,1.0
#nationalbeerloversday,0.0020173492031470646,3.512725704340233e-07,0.1561444679116868,0.535632183908046
#eminemvsmgk,0.0010086746015735323,0.0,0.15589106890501414,1.0
#nas,0.0010086746015735323,0.0,0.15589106890501414,1.0
#kelis,0.0014793894156411808,2.440475498688708e-07,0.15600921934701661,0.6060606060606061
#indraketujuheps38,0.0010086746015735323,0.0,0.15589106890501414,1.0
#donaldlovesdictators,0.00033622486719117747,0.0,0.15572259266065555,1.0
#colinkaepernick,0.03328626185192657,0.0003746510830861074,0.16439260124233265,0.033039792872573755
#fightfascism,0.00033622486719117747,0.0,0.15572259266065555,1.0
#meme,0.0058503126891264875,7.181884783150197e-06,0.15711494383262956,0.21518310612135794
#justtryit,0.00033622486719117747,0.0,0.15572259266065555,1.0
#cafecitoenergy,0.00033622486719117747,0.0,0.15572259266065555,1.0
#energy,0.0009414296281352968,7.793241709833613e-08,0.15587420487765533,0.7032967032967034
#greatlakescrossing,0.00026897989375294196,0.0,0.15570576506257247,1.0
#fortheculture,0.00026897989375294196,0.0,0.15570576506257247,1.0
#bringit,0.0017483693093941228,9.857996285048353e-07,0.15607681432940268,0.21846153846153846
#boom,0.00026897989375294196,0.0,0.15570576506257247,1.0
#manncup2018,0.00026897989375294196,0.0,0.15570576506257247,1.0
#westcoastbestcoast,0.00026897989375294196,0.0,0.15570576506257247,1.0
#flyyyy,0.00026897989375294196,0.0,0.15570576506257247,1.0
#lebron16,0.00020173492031470646,0.0,0.15568894110092335,1.0
#lebron,0.0004707148140676484,1.2059174792779284e-08,0.15575625877084054,0.8095238095238095
#goals,0.007665926971958846,1.698953103281581e-05,0.15754440737907782,0.15395752895752896
#iq45,0.00033622486719117747,0.0,0.15572259266065555,1.0
#mitchmcconnell,0.00033622486719117747,0.0,0.15572259266065555,1.0
#gop,0.00033622486719117747,0.0,0.15572259266065555,1.0
#presobama,0.00033622486719117747,0.0,0.15572259266065555,1.0
#kaepernick,0.020039002084594176,0.00012863896032956146,0.1607789723152249,0.04993128721942281
#lebronjames,0.0028242888844058904,1.7582426935004352e-06,0.15634778102094682,0.305458768873403
#kyrie,0.0004034698406294129,0.0,0.15573942389635168,1.0
#kapernick,0.006522762423508842,1.1091886720657673e-05,0.15728644797391614,0.14411512027491408
#sneaker,0.0014793894156411808,1.914393998353712e-07,0.15600921934701661,0.7229437229437229
#standforsomething,0.0024208190437764775,1.5474196645609933e-06,0.15624605832672364,0.2523809523809524
#taketheknee,0.0006724497343823549,2.9271659033406972e-08,0.15580678523886737,0.5777777777777777
#istandforamerica,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#esg,0.0006724497343823549,0.0,0.15580678523886737,1.0
#investment,0.0029587788312823615,2.106974712946258e-06,0.1563817180257267,0.3953488372093023
#strategy,0.0009414296281352968,1.567692723061307e-07,0.15587420487765533,0.6043956043956044
#sustainability,0.0006724497343823549,0.0,0.15580678523886737,1.0
#impinv,0.0006724497343823549,0.0,0.15580678523886737,1.0
#susty,0.0006724497343823549,0.0,0.15580678523886737,1.0
#sdgs,0.0006724497343823549,0.0,0.15580678523886737,1.0
#theranos,0.0006724497343823549,0.0,0.15580678523886737,1.0
#thelongswim,0.0006724497343823549,0.0,0.15580678523886737,1.0
#fridayreads,0.0012776544953264743,3.63282640632476e-07,0.15595856152062407,0.5263157894736842
#mojo50,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#loveislove,0.0011431645484500034,3.210755288577485e-07,0.1559248079092139,0.47794117647058826
#showerthoughts,0.00013448994687647098,0.0,0.15567212077452955,1.0
#firstamendment,0.0007396947078205904,1.0627147786136745e-07,0.15582363468033367,0.5636363636363636
#trumptrash,0.00026897989375294196,0.0,0.15570576506257247,1.0
#nikekap,0.00026897989375294196,0.0,0.15570576506257247,1.0
#believeinsomething,0.007531437025082375,1.8397131381297304e-05,0.15754440737907782,0.1237129987129987
#friyay,0.002286329096900007,1.1497390788081421e-06,0.1562121801701047,0.39037433155080214
#kap,0.004236433326608836,4.150043139232843e-06,0.15670485588787883,0.22939068100358423
#bluewave2018,0.0015466343890794163,5.898416424917272e-07,0.1560261126030369,0.35177865612648224
#love_yourself,0.00026897989375294196,0.0,0.15570576506257247,1.0
#believeinyourself,0.0025553089906529486,1.5480166091389054e-06,0.15627995118102447,0.32432432432432434
#equalityforall,0.0004707148140676484,2.7219280246558956e-08,0.15575625877084054,0.6190476190476191
#compassionforall,0.00026897989375294196,0.0,0.15570576506257247,1.0
#justdontdoit,0.0004034698406294129,3.6177524378337856e-08,0.15573942389635168,0.4666666666666667
#trump2020,0.00020173492031470646,0.0,0.15568894110092335,1.0
#redwave,0.0012776544953264743,1.4471009751335142e-07,0.15595856152062407,0.8128654970760234
#jesus,0.002622553964091184,1.5500339931334178e-06,0.15629690312279484,0.3292847503373819
#viral,0.0023535740703382424,2.4872624805972956e-07,0.15622911741180154,0.6554621848739496
#marketing,0.004707148140676485,5.57486415183914e-06,0.15682424356650476,0.23933747412008283
#nbc,0.0011431645484500034,1.9306617545199323e-08,0.1559248079092139,0.8676470588235294
#cnn,0.0011431645484500034,6.963041514793169e-08,0.1559248079092139,0.8235294117647058
#nikejustdoit,0.0036312285656647167,2.2154767201857302e-06,0.1565516242817303,0.33542976939203356
#football,0.005312352901620604,6.070957243424048e-06,0.15697800957501312,0.22719896137617657
#believe,0.007733171945397081,2.0274149822987657e-05,0.15759610083003892,0.13501144164759726
#listen,0.0023535740703382424,9.887140498955186e-07,0.15622911741180154,0.4235294117647059
#nikeshoes,0.003563983592226481,2.4937994990873407e-06,0.15653461704389415,0.2880986937590711
#injustice,0.0018156142828323583,3.259997922908639e-07,0.15609372222825757,0.5811965811965812
#justthrillbill,0.0005379597875058839,0.0,0.15577309728530223,1.0
#djthrillbill,0.0005379597875058839,0.0,0.15577309728530223,1.0
#704,0.0005379597875058839,0.0,0.15577309728530223,1.0
#charlit,0.0005379597875058839,0.0,0.15577309728530223,1.0
#thecoolestdjintheworld,0.0005379597875058839,0.0,0.15577309728530223,1.0
#thrillbillionaires,0.0005379597875058839,0.0,0.15577309728530223,1.0
#qcdjs,0.0005379597875058839,0.0,0.15577309728530223,1.0
#hehe,0.00020173492031470646,0.0,0.15568894110092335,1.0
#michaeljackson,0.00020173492031470646,0.0,0.15568894110092335,1.0
#heheintothewind,0.00020173492031470646,0.0,0.15568894110092335,1.0
#thoughtwear,0.00013448994687647098,0.0,0.15567212077452955,1.0
#diplomacy,0.00013448994687647098,0.0,0.15567212077452955,1.0
#ad,0.005648577768811781,6.871534952851176e-06,0.15706356549913295,0.22346528973034996
#crazyenough,0.0005379597875058839,5.708009401915529e-08,0.15577309728530223,0.5
#qanon,0.0014121444422029452,3.396060692576702e-07,0.15599232974873287,0.4095238095238095
#justblewit,0.0014793894156411808,3.9437123240142593e-07,0.15600921934701661,0.37662337662337664
#therainmakers,0.00033622486719117747,0.0,0.15572259266065555,1.0
#fridayfeeiing,0.0010086746015735323,1.8224427905587697e-07,0.15589106890501414,0.5714285714285714
#splendidloves,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#america,0.004707148140676485,5.600298408930909e-06,0.15682424356650476,0.2679089026915114
#steviewonder,0.0007396947078205904,9.685024755450863e-08,0.15582363468033367,0.509090909090909
#advertising,0.0026897989375294197,1.1041019239035131e-06,0.15631385874257384,0.4064102564102564
#collinkaepernick,0.0017483693093941228,8.037084358139447e-07,0.15607681432940268,0.29846153846153844
#blackpower,0.0009414296281352968,7.764741468541697e-08,0.15587420487765533,0.6043956043956044
#thugpun,0.00026897989375294196,0.0,0.15570576506257247,1.0
#eminem,0.004370923273485307,4.626413628119609e-06,0.156738948100625,0.28942307692307695
#revival,0.00033622486719117747,0.0,0.15572259266065555,1.0
#istandwithkaep,0.00033622486719117747,0.0,0.15572259266065555,1.0
#history,0.0006052047609441194,6.662694073010555e-08,0.15578993944091746,0.5555555555555556
#beyou,0.003026023804720597,1.919570422295328e-06,0.15639869205351628,0.3929292929292929
#livelaughlove,0.0015466343890794163,2.771456778269098e-07,0.1560261126030369,0.7193675889328063
#smile,0.0027570439109676553,1.742185102133788e-06,0.1563308180415586,0.3548780487804878
#moremoney,0.00026897989375294196,0.0,0.15570576506257247,1.0
#lessproblems,0.00026897989375294196,0.0,0.15570576506257247,1.0
#ai,0.00026897989375294196,0.0,0.15570576506257247,1.0
#watson,0.00026897989375294196,0.0,0.15570576506257247,1.0
#iaminlove,0.00033622486719117747,0.0,0.15572259266065555,1.0
#nikead,0.010691950776679443,3.013503418126851e-05,0.15835818770074137,0.10612212403471061
#thinblueline,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#blessednotstressed,0.00026897989375294196,0.0,0.15570576506257247,1.0
#gains,0.003026023804720597,1.7037442361944578e-06,0.15639869205351628,0.39090909090909093
#fitness,0.0083383767063412,2.0258079791780576e-05,0.1577513849232588,0.14817728822449514
#bodybuilding,0.0018828592562705937,4.414594387351354e-07,0.15611063379079584,0.4497354497354497
#friday,0.006321027503194136,1.4162103544335587e-05,0.15720064912601414,0.15145723841376016
#health,0.0014121444422029452,4.4101635541888567e-08,0.15599232974873287,0.8285714285714286
#dreamcrazy,0.0020173492031470646,1.0140974153065226e-06,0.15611063379079584,0.24338624338624337
#bikes,0.00013448994687647098,0.0,0.15567212077452955,1.0
#burnyournike,0.00013448994687647098,0.0,0.15567212077452955,1.0
