Source,Target,Weight
@nike,@nikestore,13
@nike,@kaepernick7,315
@nike,@nikesportswear,5
@nike,@nikewomen,2
@nike,@kingjames,21
@nike,@realdonaldtrump,88
@nike,@madriannorman,1
@nike,@tmz,1
@nike,@nikefootball,3
@nike,@owntv,1
@nike,@theellenshow,2
@nike,@betnews,1
@nike,@wiedenkennedy,2
@nike,@parkpictures,1
@nike,@nfl,40
@nike,@nike,42
@nike,@colinkaepernick,1
@nike,@uoftkpe,1
@nike,@heytammybruce,1
@nike,@adidas,6
@nike,@stevecarell,1
@nike,@serenawilliams,18
@nike,@kobebryant,4
@nike,@senatorcollins,2
@nike,@corybooker,9
@nike,@eminem,2
@nike,@xosworld,1
@nike,@breakfastclubam,1
@nike,@donniesimpson,1
@nike,@ritzcarlton,1
@nike,@associatedpress,1
@nike,@hybridmedical,1
@nike,@tamu,1
@nike,@collegegameday,1
@nike,@firsttake,1
@nike,@sbnation,1
@nike,@reutersus,1
@nike,@lindeeloo_who,1
@nike,@normangabbard1,1
@nike,@pgatour,1
@nike,@nbcsports,1
@nike,@pgatourlive,1
@nike,@jukehorse50,1
@nike,@gop,2
@nike,@nflcommish,18
@nike,@foxnews,5
@nike,@nikesupport,1
@nike,@cashflowharlem,1
@nike,@oregonmba,1
@nike,@pattricklewis,1
@nike,@jackie_paper90,1
@nike,@spattyal,1
@nike,@tibettean,1
@nike,@tracyskidds,1
@nike,@nanakim1956fl,2
@nike,@tenncountrygal,1
@nike,@flowerpot197,1
@nike,@nikebasketball,2
@nike,@healthworks,1
@nike,@sassyank,1
@nike,@seanhannity,1
@nike,@wauwatosapd,1
@nike,@worldplayersutd,1
@nike,@brendanschwab,1
@nike,@yourrightscamp,2
@nike,@richarddeitsch,1
@nike,@scotthanson,1
@nike,@liam_mchugh,1
@nike,@rollingout,1
@nike,@buzekikiprop,2
@nike,@fairtrade,1
@nike,@pennyhughart,1
@nike,@ernieminot,1
@nike,@d_booth7,2
@nike,@e_reid35,2
@nike,@usopen,2
@nike,@themasb1,2
@nike,@sfgate,1
@nike,@tesla,3
@nike,@plugshare,2
@nike,@pluginamerica,2
@nike,@chuckcallesto,1
@nike,@tigersathletics,1
@nike,@cristiano,1
@nike,@tigerwoods,1
@nike,@bmwchamps,1
@nike,@dawn_demore1,1
@nike,@rodstryker,1
@nike,@potus,4
@nike,@sruhle,1
@nike,@mikel_jollett,1
@nike,@geraldwebb,1
@nike,@chrismoorman,1
@nike,@donaldjtrumpjr,2
@nike,@ebay_uk,1
@nike,@sclancy79,1
@nike,@barron,1
@nike,@nytimes,3
@nike,@dmscott,1
@nike,@kapernick7,1
@nike,@eshow502,2
@nike,@tomilahren,2
@nike,@kayajones,2
@nike,@realcandaceo,2
@nike,@olympiaohanian,1
@nike,@naomi_osaka_,1
@nike,@alexandsrrobert,1
@nike,@sgtfury1984,3
@nike,@mwinfert,3
@nike,@lblee58,3
@nike,@kimmiejs,3
@nike,@18rowdynation,3
@nike,@thedemocrats,1
@nike,@senbooker,1
@nike,@kyleecoyote8,2
@nike,@youtube,5
@nike,@vp,1
@nike,@whitehouse,1
@nike,@presssec,1
@nike,@vivabunny,2
@nike,@nickcannon,1
@nike,@hewholoveswords,1
@nike,@cnnbrk,1
@nike,@edkrassen,1
@nike,@jsmooth995,1
@nike,@thehill,1
@nike,@dicks,2
@nike,@theviralfever,1
@nike,@kilmeade,1
@nike,@collinkapernick,3
@nike,@rolandjkay,2
@nike,@jeetendrsehdev,3
@nike,@wednesdaymeows,1
@nike,@timtebow,1
@nike,@cbsnews,3
@nike,@browns,1
@nike,@hot1015,1
@nike,@lindsaylohan,1
@nike,@miguelandholly,1
@nike,@eagles,1
@nike,@realpresssecbot,1
@nike,@darrenrovell,1
@nike,@foxandfriends,1
@nike,@footlocker,1
@nike,@abc,1
@nike,@dianaross,2
@nike,@kaepernick,3
@nike,@zambreroireland,1
@nike,@metcalfemary11,1
@nike,@nwaegbe_nkem,1
@nike,@jllgraham,1
@nike,@colehaan,1
@nike,@kapsi1911,1
@nike,@the_culthouse,1
@nike,@stlouiscatholic,1
@nike,@itsmichaelj,1
@nike,@jumpman23,1
@nike,@senjohnmccain,1
@nike,@kingzthoughtz,1
@nike,@mafiamodelz,1
@nike,@juliojones_11,1
@nike,@49ers,1
@nike,@gin_and_tacos,1
@nike,@katiegoliday,1
@nike,@bet,2
@nike,@marciagallow,1
@nike,@colinkaperneck7,2
@nike,@tintswalohlongz,1
@nike,@hermainem,1
@nike,@casspernyovest,1
@nike,@hotcherie1,1
@nike,@cofohardworku,2
@nike,@niketrail,1
@nike,@elonmusk,1
@nike,@dougayoung,2
@nike,@zimmermanjoel,2
@nike,@thomaswictor,2
@nike,@militantmind2,2
@nike,@power106la,2
@nike,@steviewonder,3
@nike,@steviewondergenius,3
@nike,@jayztwocents,1
@nike,@business,1
@nike,@drake,1
@nike,@saenzdav003,1
@nike,@realatomicelbow,2
@nike,@russellinmotion_media,1
@nike,@flykonicclothingbrand,1
@nike,@usnikefootball,1
@nike,@syrajhoxo,3
@nike,@mrs_e_lincoln,2
@nike,@jimcarrey,1
@nike,@nomoneyfc,1
@nike,@alwayssunny,1
@nike,@glennhowerton,1
@nike,@shaneclaiborne,3
@nike,@citibank,1
@nike,@nflnetwork,1
@nike,@espn,3
@nike,@oregon_ted,1
@nike,@oregonjb,1
@nike,@mikefreemannfl,1
@nike,@ericeelk,1
@nike,@pattivasquezchi,1
@nike,@davechgo,1
@nike,@edeweysmith,1
@nike,@hohatl,2
@nike,@bishoppmorton,1
@nike,@cornellwbrooks,1
@nike,@jamalhbryant,1
@nike,@bishopmckjr,2
@nike,@rolandsmartin,2
@nike,@michaeledyson,1
@nike,@mattryanreal,1
@nike,@shelby5fam,1
@nike,@nessnitty,2
@nike,@luxury,1
@nike,@ezradbaker,1
@nike,@nikela,1
@nike,@nikesoccer,1
@nike,@thexfiles,1
@nike,@nd,1
@nike,@jemelehill,1
@nike,@stephenasmith,1
@nike,@joyannreid,3
@nike,@thereval,3
@nike,@canballreport,1
@nike,@nikecourt,1
@nike,@doitforthacult2,1
@nike,@netflix,1
@nike,@joose1,1
@nike,@nikenyc,3
@nike,@chrisdelia,1
@nike,@vcuarts,1
@nike,@missyelliott,3
@nike,@kevinhart4real,1
@nike,@chiefnuke,1
@nike,@rnrkentucky,1
@nike,@timkennedymma,1
@nike,@bjorkian15,1
@nike,@alliedcontigo,1
@nike,@sarahpalinusa,1
@nike,@nikechicago,1
@nike,@captainslog2o18,9
@nike,@smilon713,1
@nike,@underarmour,1
@nike,@puma,1
@nike,@newbalance,1
@nike,@meekmill,1
@nike,@devanf91,1
@nike,@jeejuh,1
@nike,@shaunking,2
@nike,@amazon,1
@nike,@realbobwoodward,1
@nike,@ckgthedon,1
@nike,@spotify,1
@nike,@itunes,1
@nike,@theview,1
@nike,@rjclifestyle,1
@nike,@officialjoelf,1
@nike,@quiteperry,1
@nike,@caesarsent,1
@nike,@savagepoker,1
@nike,@benerwinpoker,1
@nike,@tvpokerroom,1
@nike,@donlemon_cnn,2
@nike,@11thhour,2
@nike,@torontostar,2
@nike,@foxfriendsfirst,2
@nike,@lauraingle,2
@nike,@washingtonpost,2
@nike,@kanyewest,1
@nike,@kimkardashian,1
@nike,@alicemariefree,1
@nike,@trisresists,7
@nike,@theswprincess,15
@nike,@1jedi_rey,15
@nike,@natcookresists,12
@nike,@listentoezra,14
@nike,@gbmnyc,16
@nike,@nflpa,18
@nike,@havok_2o18,15
@nike,@malcolmjenkins,16
@nike,@kstills,16
@nike,@mosesbread72,16
@nike,@matthewwolfff,13
@nike,@jynerso_2017,13
@nike,@deadpoolresists,12
@nike,@debbiesideris,13
@nike,@trinityresists,12
@nike,@sabineresists,12
@nike,@minervasbard,12
@nike,@rebelscumpixie,12
@nike,@jedimasterdre,12
@nike,@b52malmet,10
@nike,@lady_star_gem,12
@nike,@jeffbfish,12
@nike,@jainaresists,12
@nike,@knot4sharing,12
@nike,@dangerusswilson,11
@nike,@earl_thomas,11
@nike,@tdlockett12,11
@nike,@topropetravis,8
@nike,@brandontxneely,8
@nike,@realtomsongs,8
@nike,@batmanresist,8
@nike,@nateboyer37,8
@nike,@slythseeker,1
@nike,@naretevduorp,1
@nike,@augustus709,1
@nike,@meg_y12,1
@nike,@kidcasteel,1
@nike,@ybbkaren,1
@nike,@ladyhawkerfinds,1
@nike,@pollackhunter,1
@nike,@njdot_info,1
@nike,@shondarhimes,2
@nike,@deray,2
@nike,@djsupreme610,2
@nike,@fbi,1
@nike,@katiekent419,1
@nike,@paylessinsider,5
@nike,@alt_uscis,1
@nike,@cnnmoney,2
@nike,@gunjin_,1
@nike,@kicks_usa,1
@nike,@xrsize58,1
@nike,@chicagobears,4
@nike,@maninthehoody,4
@nike,@allensoped,2
@nike,@cyrustoulabi,2
@nike,@alyssa_milano,2
@nike,@southeugenehigh,1
@nike,@eliudkipchoge,1
@nike,@essence,1
@nike,@senkamalaharris,2
@nike,@karencivil,1
@nike,@nickiminaj,2
@nike,@adidasfballus,1
@nike,@lauraloomer,1
@nike,@chizmaga,1
@nike,@ford,1
@nike,@wtmj,1
@nike,@ace_metrix,3
@nike,@thesharkdaymond,1
@nike,@theshaderoom,1
@nike,@worldstar,1
@nike,@nbcsphilly,1
@nike,@nratv,1
@nike,@dloesch,1
@nike,@spjhpythons,1
@nike,@spjh_pe,1
@nike,@fosterthepeople,1
@nike,@d_dashawn,1
@nike,@hurley,1
@nike,@converse,1
@nike,@nikesb,1
@nike,@tish_ja,1
@nike,@blackenterprise,1
@nike,@acts17,1
@nike,@inspiringphilos,1
@nike,@armorogod,1
@nike,@bensimmons25,1
@nike,@katieutehs,1
@nike,@nbc,1
@nike,@markos,1
@nike,@logjamminpete,1
