Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient
@nike,0.07163269194132216,0.011098253450447416,0.09019214429431203,0.02980602428639016
@nikestore,0.004191274528481616,0.0002456676996603843,0.06316648403591002,0.22510822510822512
@kaepernick7,0.056010668698799775,0.00618846850241556,0.08196141946990779,0.050769665301511085
@realdonaldtrump,0.038674033149171276,0.0041646877117446236,0.07479194610829935,0.09970149253731343
@colinkaperneck7,0.00038102495713469235,0.0,0.058563118350005355,1.0
@repadamschiff,0.00038102495713469235,0.0,0.0,0.0
@potus,0.012383311106877501,0.0009548092100326524,0.06505032926887387,0.16634615384615384
@nikesportswear,0.0015240998285387694,6.015942733999351e-05,0.058950739651825575,0.35714285714285715
@nikewomen,0.0007620499142693847,3.0699324067921567e-06,0.0586595449993193,0.6666666666666666
@bravotv,0.0009525623928367309,4.3562304550460253e-07,0.0009525623928367308,0.4
@bravowwhl,0.00038102495713469235,0.0,0.0005953514955229568,1.0
@parishilton,0.00038102495713469235,0.0,0.0005953514955229568,1.0
@tgirlmiller,0.0007620499142693847,1.0890576137615063e-07,0.04916177138397414,0.5
@nerdygirl007,0.0009525623928367309,0.0,0.0009525623928367308,1.0
@1dentalhygenius,0.0009525623928367309,0.0,0.0009525623928367308,1.0
@intelisexxx,0.0009525623928367309,0.0,0.0009525623928367308,1.0
@nuttytrump,0.0009525623928367309,0.0,0.0009525623928367308,1.0
@cokerrory,0.0009525623928367309,0.0,0.0009525623928367308,1.0
@benfranklin2018,0.0009525623928367309,0.0,0.0009525623928367308,1.0
@satolax22,0.00019051247856734617,0.0,0.00019051247856734617,0.0
@curtisdickson17,0.00019051247856734617,0.0,0.00019051247856734617,0.0
@senatemajldr,0.0007620499142693847,5.430767300624039e-05,0.04551860774649053,0.5
@niki,0.00019051247856734617,0.0,0.034521218019625245,0.0
@kingjames,0.014669460849685656,0.00014615051882690237,0.06601463309991339,0.5529733424470267
@docthompsonshow,0.00038102495713469235,0.0,0.00038102495713469235,1.0
@realbradstaggs,0.00038102495713469235,0.0,0.00038102495713469235,1.0
@foodbizpro,0.00038102495713469235,0.0,0.00038102495713469235,1.0
@jwkeady,0.0005715374357020385,0.0,0.0521354590189072,1.0
@killermike,0.0005715374357020385,0.0,0.0521354590189072,1.0
@tmorello,0.0005715374357020385,0.0,0.0521354590189072,1.0
@madriannorman,0.00038102495713469235,0.0,0.058563118350005355,1.0
@tsmadisonatl1,0.0007620499142693847,0.0,0.0007620499142693847,1.0
@primevideo,0.0007620499142693847,0.0,0.0007620499142693847,1.0
@msisisking,0.0007620499142693847,0.0,0.0007620499142693847,1.0
@ariscestocrat,0.0007620499142693847,0.0,0.0007620499142693847,1.0
@fishtankseries,0.0007620499142693847,0.0,0.0007620499142693847,1.0
